9,10,-0.01,0.5,0.5,4.1505e-06,5.1252,8.3009e-05,16.048,0
9,13,-0.01,0.5,0.5,0,13.198,0,101.87,0
9,16,-0.01,0.5,0.5,0,7.5736,0,29.457,0
9,19,-0.01,0.5,0.5,0,14.636,0,57.398,0
12,10,-0.01,0.5,0.5,0,45.787,0,255.57,0
12,13,-0.01,0.5,0.5,2.3273e-06,26.588,4.6545e-05,80.54,0
12,16,-0.01,0.5,0.5,0,47.981,0,264.27,0
12,19,-0.01,0.5,0.5,0,295.92,0,2409.5,0
15,10,-0.01,0.5,0.5,0,147.03,0,978.26,0
15,13,-0.01,0.5,0.5,0.0086865,455.09,0.17373,3600.1,1
15,16,-0.01,0.5,0.5,0.030103,944.19,0.43164,3600,3
15,19,-0.01,0.5,0.5,0.01578,600.33,0.3156,3600.1,1
18,10,-0.01,0.5,0.5,0.079208,1601.2,0.40906,3600.1,7
18,13,-0.01,0.5,0.5,0.097849,2045.3,0.49508,3600,6
18,16,-0.01,0.5,0.5,0.13551,2163.8,0.35636,3600.1,11
18,19,-0.01,0.5,0.5,0.18284,2451.7,0.75644,3601.3,10
